ProductName,Category,UseCase,Price,Audience,PrimaryBenefit,Style,Rating
Nimbus Ultralight 1,Jacket,Daily Commute,129,Unisex,Lightweight,Modern,4.6
Summit Shield Pro 1,Jacket,Alpine Hiking,249,Unisex,Weatherproof,Technical,4.8
Breeze Trail Hoodie 1,Midlayer,Trail Running,99,Unisex,Breathable,Athletic,4.5
Harbor Cozy Fleece 1,Midlayer,Casual,89,Women,Warmth,Casual,4.7
Terra Grip 2.0 1,Shoes,Hiking,159,Men,Traction,Technical,4.6
Flowstride Knit 1,Shoes,Daily Commute,139,Women,Comfort,Modern,4.4
All-Day Pack 20L 1,Backpack,Daily Commute,119,Unisex,Organization,Minimal,4.5
Summit Pack 28L 1,Backpack,Alpine Hiking,169,Unisex,Support,Technical,4.7
City Shell Rain 1,Jacket,Rain,149,Unisex,Weatherproof,Minimal,4.5
Glacier Loft Parka 1,Jacket,Winter,279,Unisex,Warmth,Modern,4.8
Trailflex Wind 1,Jacket,Trail Running,119,Unisex,Lightweight,Athletic,4.4
Harbor Softshell 1,Jacket,Casual,149,Men,Comfort,Casual,4.3
Summit Apex Hybrid 1,Jacket,Alpine Hiking,199,Women,Breathable,Technical,4.7
Coastline Anorak 1,Jacket,Travel,129,Unisex,Packable,Minimal,4.4
Terra Grip 3.0 1,Shoes,Alpine Hiking,189,Unisex,Traction,Technical,4.7
Flowstride Knit 2,Shoes,Casual,129,Women,Comfort,Modern,4.3
All-Day Pack 26L 1,Backpack,Travel,139,Unisex,Organization,Modern,4.4
Summit Pack 32L 1,Backpack,Alpine Hiking,189,Unisex,Support,Technical,4.7
Metro Lite Sling 1,Accessories,Daily Commute,69,Unisex,Organization,Minimal,4.4
Trail Hydration 1,Accessories,Trail Running,59,Unisex,Hydration,Athletic,4.5
Nimbus Ultralight 2,Jacket,Daily Commute,129,Unisex,Lightweight,Modern,4.6
Summit Shield Pro 2,Jacket,Alpine Hiking,249,Unisex,Weatherproof,Technical,4.8
Breeze Trail Hoodie 2,Midlayer,Trail Running,99,Unisex,Breathable,Athletic,4.5
Harbor Cozy Fleece 2,Midlayer,Casual,89,Women,Warmth,Casual,4.7
Terra Grip 2.0 2,Shoes,Hiking,159,Men,Traction,Technical,4.6
Flowstride Knit 3,Shoes,Daily Commute,139,Women,Comfort,Modern,4.4
All-Day Pack 20L 2,Backpack,Daily Commute,119,Unisex,Organization,Minimal,4.5
Summit Pack 28L 2,Backpack,Alpine Hiking,169,Unisex,Support,Technical,4.7
City Shell Rain 2,Jacket,Rain,149,Unisex,Weatherproof,Minimal,4.5
Glacier Loft Parka 2,Jacket,Winter,279,Unisex,Warmth,Modern,4.8
Trailflex Wind 2,Jacket,Trail Running,119,Unisex,Lightweight,Athletic,4.4
Harbor Softshell 2,Jacket,Casual,149,Men,Comfort,Casual,4.3
Summit Apex Hybrid 2,Jacket,Alpine Hiking,199,Women,Breathable,Technical,4.7
Coastline Anorak 2,Jacket,Travel,129,Unisex,Packable,Minimal,4.4
Terra Grip 3.0 2,Shoes,Alpine Hiking,189,Unisex,Traction,Technical,4.7
Flowstride Knit 4,Shoes,Casual,129,Women,Comfort,Modern,4.3
All-Day Pack 26L 2,Backpack,Travel,139,Unisex,Organization,Modern,4.4
Summit Pack 32L 2,Backpack,Alpine Hiking,189,Unisex,Support,Technical,4.7
Metro Lite Sling 2,Accessories,Daily Commute,69,Unisex,Organization,Minimal,4.4
Trail Hydration 2,Accessories,Trail Running,59,Unisex,Hydration,Athletic,4.5
Nimbus Ultralight 3,Jacket,Daily Commute,129,Unisex,Lightweight,Modern,4.6
Summit Shield Pro 3,Jacket,Alpine Hiking,249,Unisex,Weatherproof,Technical,4.8
Breeze Trail Hoodie 3,Midlayer,Trail Running,99,Unisex,Breathable,Athletic,4.5
Harbor Cozy Fleece 3,Midlayer,Casual,89,Women,Warmth,Casual,4.7
Terra Grip 2.0 3,Shoes,Hiking,159,Men,Traction,Technical,4.6
Flowstride Knit 5,Shoes,Daily Commute,139,Women,Comfort,Modern,4.4
All-Day Pack 20L 3,Backpack,Daily Commute,119,Unisex,Organization,Minimal,4.5
Summit Pack 28L 3,Backpack,Alpine Hiking,169,Unisex,Support,Technical,4.7
City Shell Rain 3,Jacket,Rain,149,Unisex,Weatherproof,Minimal,4.5
Glacier Loft Parka 3,Jacket,Winter,279,Unisex,Warmth,Modern,4.8
Trailflex Wind 3,Jacket,Trail Running,119,Unisex,Lightweight,Athletic,4.4
Harbor Softshell 3,Jacket,Casual,149,Men,Comfort,Casual,4.3
Summit Apex Hybrid 3,Jacket,Alpine Hiking,199,Women,Breathable,Technical,4.7
Coastline Anorak 3,Jacket,Travel,129,Unisex,Packable,Minimal,4.4
Terra Grip 3.0 3,Shoes,Alpine Hiking,189,Unisex,Traction,Technical,4.7
Flowstride Knit 6,Shoes,Casual,129,Women,Comfort,Modern,4.3
All-Day Pack 26L 3,Backpack,Travel,139,Unisex,Organization,Modern,4.4
Summit Pack 32L 3,Backpack,Alpine Hiking,189,Unisex,Support,Technical,4.7
Metro Lite Sling 3,Accessories,Daily Commute,69,Unisex,Organization,Minimal,4.4
Trail Hydration 3,Accessories,Trail Running,59,Unisex,Hydration,Athletic,4.5
Nimbus Ultralight 4,Jacket,Daily Commute,129,Unisex,Lightweight,Modern,4.6
Summit Shield Pro 4,Jacket,Alpine Hiking,249,Unisex,Weatherproof,Technical,4.8
Breeze Trail Hoodie 4,Midlayer,Trail Running,99,Unisex,Breathable,Athletic,4.5
Harbor Cozy Fleece 4,Midlayer,Casual,89,Women,Warmth,Casual,4.7
Terra Grip 2.0 4,Shoes,Hiking,159,Men,Traction,Technical,4.6
Flowstride Knit 7,Shoes,Daily Commute,139,Women,Comfort,Modern,4.4
All-Day Pack 20L 4,Backpack,Daily Commute,119,Unisex,Organization,Minimal,4.5
Summit Pack 28L 4,Backpack,Alpine Hiking,169,Unisex,Support,Technical,4.7
City Shell Rain 4,Jacket,Rain,149,Unisex,Weatherproof,Minimal,4.5
Glacier Loft Parka 4,Jacket,Winter,279,Unisex,Warmth,Modern,4.8
Trailflex Wind 4,Jacket,Trail Running,119,Unisex,Lightweight,Athletic,4.4
Harbor Softshell 4,Jacket,Casual,149,Men,Comfort,Casual,4.3
Summit Apex Hybrid 4,Jacket,Alpine Hiking,199,Women,Breathable,Technical,4.7
Coastline Anorak 4,Jacket,Travel,129,Unisex,Packable,Minimal,4.4
Terra Grip 3.0 4,Shoes,Alpine Hiking,189,Unisex,Traction,Technical,4.7
Flowstride Knit 8,Shoes,Casual,129,Women,Comfort,Modern,4.3
All-Day Pack 26L 4,Backpack,Travel,139,Unisex,Organization,Modern,4.4
Summit Pack 32L 4,Backpack,Alpine Hiking,189,Unisex,Support,Technical,4.7
Metro Lite Sling 4,Accessories,Daily Commute,69,Unisex,Organization,Minimal,4.4
Trail Hydration 4,Accessories,Trail Running,59,Unisex,Hydration,Athletic,4.5
Nimbus Ultralight 5,Jacket,Daily Commute,129,Unisex,Lightweight,Modern,4.6
Summit Shield Pro 5,Jacket,Alpine Hiking,249,Unisex,Weatherproof,Technical,4.8
Breeze Trail Hoodie 5,Midlayer,Trail Running,99,Unisex,Breathable,Athletic,4.5
Harbor Cozy Fleece 5,Midlayer,Casual,89,Women,Warmth,Casual,4.7
Terra Grip 2.0 5,Shoes,Hiking,159,Men,Traction,Technical,4.6
Flowstride Knit 9,Shoes,Daily Commute,139,Women,Comfort,Modern,4.4
All-Day Pack 20L 5,Backpack,Daily Commute,119,Unisex,Organization,Minimal,4.5
Summit Pack 28L 5,Backpack,Alpine Hiking,169,Unisex,Support,Technical,4.7
City Shell Rain 5,Jacket,Rain,149,Unisex,Weatherproof,Minimal,4.5
Glacier Loft Parka 5,Jacket,Winter,279,Unisex,Warmth,Modern,4.8
Trailflex Wind 5,Jacket,Trail Running,119,Unisex,Lightweight,Athletic,4.4
Harbor Softshell 5,Jacket,Casual,149,Men,Comfort,Casual,4.3
Summit Apex Hybrid 5,Jacket,Alpine Hiking,199,Women,Breathable,Technical,4.7
Coastline Anorak 5,Jacket,Travel,129,Unisex,Packable,Minimal,4.4
Terra Grip 3.0 5,Shoes,Alpine Hiking,189,Unisex,Traction,Technical,4.7
Flowstride Knit 10,Shoes,Casual,129,Women,Comfort,Modern,4.3
All-Day Pack 26L 5,Backpack,Travel,139,Unisex,Organization,Modern,4.4
Summit Pack 32L 5,Backpack,Alpine Hiking,189,Unisex,Support,Technical,4.7
Metro Lite Sling 5,Accessories,Daily Commute,69,Unisex,Organization,Minimal,4.4
Trail Hydration 5,Accessories,Trail Running,59,Unisex,Hydration,Athletic,4.5
Nimbus Ultralight 6,Jacket,Daily Commute,129,Unisex,Lightweight,Modern,4.6
Summit Shield Pro 6,Jacket,Alpine Hiking,249,Unisex,Weatherproof,Technical,4.8
Breeze Trail Hoodie 6,Midlayer,Trail Running,99,Unisex,Breathable,Athletic,4.5
Harbor Cozy Fleece 6,Midlayer,Casual,89,Women,Warmth,Casual,4.7
Terra Grip 2.0 6,Shoes,Hiking,159,Men,Traction,Technical,4.6
Flowstride Knit 11,Shoes,Daily Commute,139,Women,Comfort,Modern,4.4
All-Day Pack 20L 6,Backpack,Daily Commute,119,Unisex,Organization,Minimal,4.5
Summit Pack 28L 6,Backpack,Alpine Hiking,169,Unisex,Support,Technical,4.7
City Shell Rain 6,Jacket,Rain,149,Unisex,Weatherproof,Minimal,4.5
Glacier Loft Parka 6,Jacket,Winter,279,Unisex,Warmth,Modern,4.8
Trailflex Wind 6,Jacket,Trail Running,119,Unisex,Lightweight,Athletic,4.4
Harbor Softshell 6,Jacket,Casual,149,Men,Comfort,Casual,4.3
Summit Apex Hybrid 6,Jacket,Alpine Hiking,199,Women,Breathable,Technical,4.7
Coastline Anorak 6,Jacket,Travel,129,Unisex,Packable,Minimal,4.4
Terra Grip 3.0 6,Shoes,Alpine Hiking,189,Unisex,Traction,Technical,4.7
Flowstride Knit 12,Shoes,Casual,129,Women,Comfort,Modern,4.3
All-Day Pack 26L 6,Backpack,Travel,139,Unisex,Organization,Modern,4.4
Summit Pack 32L 6,Backpack,Alpine Hiking,189,Unisex,Support,Technical,4.7
Metro Lite Sling 6,Accessories,Daily Commute,69,Unisex,Organization,Minimal,4.4
Trail Hydration 6,Accessories,Trail Running,59,Unisex,Hydration,Athletic,4.5
Nimbus Ultralight 7,Jacket,Daily Commute,129,Unisex,Lightweight,Modern,4.6
Summit Shield Pro 7,Jacket,Alpine Hiking,249,Unisex,Weatherproof,Technical,4.8
Breeze Trail Hoodie 7,Midlayer,Trail Running,99,Unisex,Breathable,Athletic,4.5
Harbor Cozy Fleece 7,Midlayer,Casual,89,Women,Warmth,Casual,4.7
Terra Grip 2.0 7,Shoes,Hiking,159,Men,Traction,Technical,4.6
Flowstride Knit 13,Shoes,Daily Commute,139,Women,Comfort,Modern,4.4
All-Day Pack 20L 7,Backpack,Daily Commute,119,Unisex,Organization,Minimal,4.5
Summit Pack 28L 7,Backpack,Alpine Hiking,169,Unisex,Support,Technical,4.7
City Shell Rain 7,Jacket,Rain,149,Unisex,Weatherproof,Minimal,4.5
Glacier Loft Parka 7,Jacket,Winter,279,Unisex,Warmth,Modern,4.8
Trailflex Wind 7,Jacket,Trail Running,119,Unisex,Lightweight,Athletic,4.4
Harbor Softshell 7,Jacket,Casual,149,Men,Comfort,Casual,4.3
Summit Apex Hybrid 7,Jacket,Alpine Hiking,199,Women,Breathable,Technical,4.7
Coastline Anorak 7,Jacket,Travel,129,Unisex,Packable,Minimal,4.4
Terra Grip 3.0 7,Shoes,Alpine Hiking,189,Unisex,Traction,Technical,4.7
Flowstride Knit 14,Shoes,Casual,129,Women,Comfort,Modern,4.3
All-Day Pack 26L 7,Backpack,Travel,139,Unisex,Organization,Modern,4.4
Summit Pack 32L 7,Backpack,Alpine Hiking,189,Unisex,Support,Technical,4.7
Metro Lite Sling 7,Accessories,Daily Commute,69,Unisex,Organization,Minimal,4.4
Trail Hydration 7,Accessories,Trail Running,59,Unisex,Hydration,Athletic,4.5
Nimbus Ultralight 8,Jacket,Daily Commute,129,Unisex,Lightweight,Modern,4.6
Summit Shield Pro 8,Jacket,Alpine Hiking,249,Unisex,Weatherproof,Technical,4.8
Breeze Trail Hoodie 8,Midlayer,Trail Running,99,Unisex,Breathable,Athletic,4.5
Harbor Cozy Fleece 8,Midlayer,Casual,89,Women,Warmth,Casual,4.7
Terra Grip 2.0 8,Shoes,Hiking,159,Men,Traction,Technical,4.6
Flowstride Knit 15,Shoes,Daily Commute,139,Women,Comfort,Modern,4.4
All-Day Pack 20L 8,Backpack,Daily Commute,119,Unisex,Organization,Minimal,4.5
Summit Pack 28L 8,Backpack,Alpine Hiking,169,Unisex,Support,Technical,4.7
City Shell Rain 8,Jacket,Rain,149,Unisex,Weatherproof,Minimal,4.5
Glacier Loft Parka 8,Jacket,Winter,279,Unisex,Warmth,Modern,4.8
Trailflex Wind 8,Jacket,Trail Running,119,Unisex,Lightweight,Athletic,4.4
Harbor Softshell 8,Jacket,Casual,149,Men,Comfort,Casual,4.3
Summit Apex Hybrid 8,Jacket,Alpine Hiking,199,Women,Breathable,Technical,4.7
Coastline Anorak 8,Jacket,Travel,129,Unisex,Packable,Minimal,4.4
Terra Grip 3.0 8,Shoes,Alpine Hiking,189,Unisex,Traction,Technical,4.7
Flowstride Knit 16,Shoes,Casual,129,Women,Comfort,Modern,4.3
All-Day Pack 26L 8,Backpack,Travel,139,Unisex,Organization,Modern,4.4
Summit Pack 32L 8,Backpack,Alpine Hiking,189,Unisex,Support,Technical,4.7
Metro Lite Sling 8,Accessories,Daily Commute,69,Unisex,Organization,Minimal,4.4
Trail Hydration 8,Accessories,Trail Running,59,Unisex,Hydration,Athletic,4.5
Nimbus Ultralight 9,Jacket,Daily Commute,129,Unisex,Lightweight,Modern,4.6
Summit Shield Pro 9,Jacket,Alpine Hiking,249,Unisex,Weatherproof,Technical,4.8
Breeze Trail Hoodie 9,Midlayer,Trail Running,99,Unisex,Breathable,Athletic,4.5
Harbor Cozy Fleece 9,Midlayer,Casual,89,Women,Warmth,Casual,4.7
Terra Grip 2.0 9,Shoes,Hiking,159,Men,Traction,Technical,4.6
Flowstride Knit 17,Shoes,Daily Commute,139,Women,Comfort,Modern,4.4
All-Day Pack 20L 9,Backpack,Daily Commute,119,Unisex,Organization,Minimal,4.5
Summit Pack 28L 9,Backpack,Alpine Hiking,169,Unisex,Support,Technical,4.7
City Shell Rain 9,Jacket,Rain,149,Unisex,Weatherproof,Minimal,4.5
Glacier Loft Parka 9,Jacket,Winter,279,Unisex,Warmth,Modern,4.8
Trailflex Wind 9,Jacket,Trail Running,119,Unisex,Lightweight,Athletic,4.4
Harbor Softshell 9,Jacket,Casual,149,Men,Comfort,Casual,4.3
Summit Apex Hybrid 9,Jacket,Alpine Hiking,199,Women,Breathable,Technical,4.7
Coastline Anorak 9,Jacket,Travel,129,Unisex,Packable,Minimal,4.4
Terra Grip 3.0 9,Shoes,Alpine Hiking,189,Unisex,Traction,Technical,4.7
Flowstride Knit 18,Shoes,Casual,129,Women,Comfort,Modern,4.3
All-Day Pack 26L 9,Backpack,Travel,139,Unisex,Organization,Modern,4.4
Summit Pack 32L 9,Backpack,Alpine Hiking,189,Unisex,Support,Technical,4.7
Metro Lite Sling 9,Accessories,Daily Commute,69,Unisex,Organization,Minimal,4.4
Trail Hydration 9,Accessories,Trail Running,59,Unisex,Hydration,Athletic,4.5
Nimbus Ultralight 10,Jacket,Daily Commute,129,Unisex,Lightweight,Modern,4.6
Summit Shield Pro 10,Jacket,Alpine Hiking,249,Unisex,Weatherproof,Technical,4.8
Breeze Trail Hoodie 10,Midlayer,Trail Running,99,Unisex,Breathable,Athletic,4.5
Harbor Cozy Fleece 10,Midlayer,Casual,89,Women,Warmth,Casual,4.7
Terra Grip 2.0 10,Shoes,Hiking,159,Men,Traction,Technical,4.6
Flowstride Knit 19,Shoes,Daily Commute,139,Women,Comfort,Modern,4.4
All-Day Pack 20L 10,Backpack,Daily Commute,119,Unisex,Organization,Minimal,4.5
Summit Pack 28L 10,Backpack,Alpine Hiking,169,Unisex,Support,Technical,4.7
City Shell Rain 10,Jacket,Rain,149,Unisex,Weatherproof,Minimal,4.5
Glacier Loft Parka 10,Jacket,Winter,279,Unisex,Warmth,Modern,4.8
Trailflex Wind 10,Jacket,Trail Running,119,Unisex,Lightweight,Athletic,4.4
Harbor Softshell 10,Jacket,Casual,149,Men,Comfort,Casual,4.3
Summit Apex Hybrid 10,Jacket,Alpine Hiking,199,Women,Breathable,Technical,4.7
Coastline Anorak 10,Jacket,Travel,129,Unisex,Packable,Minimal,4.4
Terra Grip 3.0 10,Shoes,Alpine Hiking,189,Unisex,Traction,Technical,4.7
Flowstride Knit 20,Shoes,Casual,129,Women,Comfort,Modern,4.3
All-Day Pack 26L 10,Backpack,Travel,139,Unisex,Organization,Modern,4.4
Summit Pack 32L 10,Backpack,Alpine Hiking,189,Unisex,Support,Technical,4.7
Metro Lite Sling 10,Accessories,Daily Commute,69,Unisex,Organization,Minimal,4.4
Trail Hydration 10,Accessories,Trail Running,59,Unisex,Hydration,Athletic,4.5
Nimbus Ultralight 11,Jacket,Daily Commute,129,Unisex,Lightweight,Modern,4.6
Summit Shield Pro 11,Jacket,Alpine Hiking,249,Unisex,Weatherproof,Technical,4.8
Breeze Trail Hoodie 11,Midlayer,Trail Running,99,Unisex,Breathable,Athletic,4.5
Harbor Cozy Fleece 11,Midlayer,Casual,89,Women,Warmth,Casual,4.7
Terra Grip 2.0 11,Shoes,Hiking,159,Men,Traction,Technical,4.6
Flowstride Knit 21,Shoes,Daily Commute,139,Women,Comfort,Modern,4.4
All-Day Pack 20L 11,Backpack,Daily Commute,119,Unisex,Organization,Minimal,4.5
Summit Pack 28L 11,Backpack,Alpine Hiking,169,Unisex,Support,Technical,4.7
City Shell Rain 11,Jacket,Rain,149,Unisex,Weatherproof,Minimal,4.5
Glacier Loft Parka 11,Jacket,Winter,279,Unisex,Warmth,Modern,4.8
Trailflex Wind 11,Jacket,Trail Running,119,Unisex,Lightweight,Athletic,4.4
Harbor Softshell 11,Jacket,Casual,149,Men,Comfort,Casual,4.3
Summit Apex Hybrid 11,Jacket,Alpine Hiking,199,Women,Breathable,Technical,4.7
Coastline Anorak 11,Jacket,Travel,129,Unisex,Packable,Minimal,4.4
Terra Grip 3.0 11,Shoes,Alpine Hiking,189,Unisex,Traction,Technical,4.7
Flowstride Knit 22,Shoes,Casual,129,Women,Comfort,Modern,4.3
All-Day Pack 26L 11,Backpack,Travel,139,Unisex,Organization,Modern,4.4
Summit Pack 32L 11,Backpack,Alpine Hiking,189,Unisex,Support,Technical,4.7
Metro Lite Sling 11,Accessories,Daily Commute,69,Unisex,Organization,Minimal,4.4
Trail Hydration 11,Accessories,Trail Running,59,Unisex,Hydration,Athletic,4.5
Nimbus Ultralight 12,Jacket,Daily Commute,129,Unisex,Lightweight,Modern,4.6
Summit Shield Pro 12,Jacket,Alpine Hiking,249,Unisex,Weatherproof,Technical,4.8
Breeze Trail Hoodie 12,Midlayer,Trail Running,99,Unisex,Breathable,Athletic,4.5
Harbor Cozy Fleece 12,Midlayer,Casual,89,Women,Warmth,Casual,4.7
Terra Grip 2.0 12,Shoes,Hiking,159,Men,Traction,Technical,4.6
Flowstride Knit 23,Shoes,Daily Commute,139,Women,Comfort,Modern,4.4
All-Day Pack 20L 12,Backpack,Daily Commute,119,Unisex,Organization,Minimal,4.5
Summit Pack 28L 12,Backpack,Alpine Hiking,169,Unisex,Support,Technical,4.7
City Shell Rain 12,Jacket,Rain,149,Unisex,Weatherproof,Minimal,4.5
Glacier Loft Parka 12,Jacket,Winter,279,Unisex,Warmth,Modern,4.8
Trailflex Wind 12,Jacket,Trail Running,119,Unisex,Lightweight,Athletic,4.4
Harbor Softshell 12,Jacket,Casual,149,Men,Comfort,Casual,4.3
Summit Apex Hybrid 12,Jacket,Alpine Hiking,199,Women,Breathable,Technical,4.7
Coastline Anorak 12,Jacket,Travel,129,Unisex,Packable,Minimal,4.4
Terra Grip 3.0 12,Shoes,Alpine Hiking,189,Unisex,Traction,Technical,4.7
Flowstride Knit 24,Shoes,Casual,129,Women,Comfort,Modern,4.3
All-Day Pack 26L 12,Backpack,Travel,139,Unisex,Organization,Modern,4.4
Summit Pack 32L 12,Backpack,Alpine Hiking,189,Unisex,Support,Technical,4.7
Metro Lite Sling 12,Accessories,Daily Commute,69,Unisex,Organization,Minimal,4.4
Trail Hydration 12,Accessories,Trail Running,59,Unisex,Hydration,Athletic,4.5
Nimbus Ultralight 13,Jacket,Daily Commute,129,Unisex,Lightweight,Modern,4.6
Summit Shield Pro 13,Jacket,Alpine Hiking,249,Unisex,Weatherproof,Technical,4.8
Breeze Trail Hoodie 13,Midlayer,Trail Running,99,Unisex,Breathable,Athletic,4.5
Harbor Cozy Fleece 13,Midlayer,Casual,89,Women,Warmth,Casual,4.7
Terra Grip 2.0 13,Shoes,Hiking,159,Men,Traction,Technical,4.6
Flowstride Knit 25,Shoes,Daily Commute,139,Women,Comfort,Modern,4.4
All-Day Pack 20L 13,Backpack,Daily Commute,119,Unisex,Organization,Minimal,4.5
Summit Pack 28L 13,Backpack,Alpine Hiking,169,Unisex,Support,Technical,4.7
City Shell Rain 13,Jacket,Rain,149,Unisex,Weatherproof,Minimal,4.5
Glacier Loft Parka 13,Jacket,Winter,279,Unisex,Warmth,Modern,4.8
Trailflex Wind 13,Jacket,Trail Running,119,Unisex,Lightweight,Athletic,4.4
Harbor Softshell 13,Jacket,Casual,149,Men,Comfort,Casual,4.3
Summit Apex Hybrid 13,Jacket,Alpine Hiking,199,Women,Breathable,Technical,4.7
Coastline Anorak 13,Jacket,Travel,129,Unisex,Packable,Minimal,4.4
Terra Grip 3.0 13,Shoes,Alpine Hiking,189,Unisex,Traction,Technical,4.7
Flowstride Knit 26,Shoes,Casual,129,Women,Comfort,Modern,4.3
All-Day Pack 26L 13,Backpack,Travel,139,Unisex,Organization,Modern,4.4
Summit Pack 32L 13,Backpack,Alpine Hiking,189,Unisex,Support,Technical,4.7
Metro Lite Sling 13,Accessories,Daily Commute,69,Unisex,Organization,Minimal,4.4
Trail Hydration 13,Accessories,Trail Running,59,Unisex,Hydration,Athletic,4.5

